type	scope	path	kind	size_bytes	sha256	git_object	text_searchable
19	CORE	=2.19	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	0
BACKUP_20250606_034430	ARCHIVE_BACKUP	archive/main.py.backup_20250606_034430	file	8817	3da9223577a22f25b27ae14eb2dd6febbe314a5210cc364b3a4543c66a59679d	ca916e96f2f08a3214a80ea49fd44cc193e33f9e	0
BACKUP_20250606_034502	ARCHIVE_BACKUP	scripts/debug/fix_pandoc_error.py.backup_20250606_034502	file	1985	c47fb83cbe2670d43d12a3287be105c67631f9d2f0bdd3bf9095d30526f7501e	99606ccfb9745e9afb7ea90ac7c08fd3b49beb08	0
BACKUP_20250606_034502	ARCHIVE_BACKUP	src/parsers/pandoc_converter.py.backup_20250606_034502	file	8111	51beef8afada2e32c85d780631f7af393b3dd641caca77deca737df1711c831b	f08f528a83cf12d0a12be09e6ebf6a7b4dd9cb79	0
BACKUP_20250606_034502	ARCHIVE_BACKUP	src/rtm/rtm_pipeline.py.backup_20250606_034502	file	6533	6aba9bc94242b1983ee16c4a27d70342d0991478b3c0143d7207a2951360c0f7	cd0989c9246c35ab37b3bc0bfa5945107bfb68b1	0
BACKUP_20250606_034502	ARCHIVE_BACKUP	utils/document_parser.py.backup_20250606_034502	file	17199	8af86639babfbbcdc8153f0dcae542f0032f3d7196536857d9ae104d848a556a	696cebdcc066934c8a02213904f935bed015f99b	0
BACKUP_20250606_034502	ARCHIVE_BACKUP	utils/docx_converter.py.backup_20250606_034502	file	13223	ae4074d5c035df9c99f4f4ec1541c885902da0873467940e366cd811653d4b09	bbf1ca359c8889f0cc2ab2408fd277215151d50e	0
BACKUP_20250606_034809	ARCHIVE_BACKUP	archive/extension_control.py.backup_20250606_034809	file	4265	549f6127021b17b9af792bae5f633b9b43889a512d66737c1e7c8a8b94610f4f	987a261f063a4b27a1a10b3e54d4737d7ff71eb9	0
BACKUP_20250606_034809	ARCHIVE_BACKUP	archive/main.py.backup_20250606_034809	file	8853	94c987eef4517d16b8874950c1b7fcce0b6f33bf743d392dc99030dab4aeb85a	7300f0b14a02442438cd4966c96019e36eba8898	0
BACKUP_20250606_034809	ARCHIVE_BACKUP	archive/quick_import_fix.py.backup_20250606_034809	file	8481	b1bad71fa1648e1ddcba142397e28f11c3c67762167f34c8c29df23fed3bb16d	d58b37c9cea594c745f1319cf63c6187f06972ba	0
BACKUP_20250606_034844	ARCHIVE_BACKUP	src/rtm/rtm_pipeline.py.backup_20250606_034844	file	6557	991522c463deda6a5d7db138658d6067d1f50554f1eae04f4bb4d78ed4122904	d5cd94d3afada33e5d29f71cfc421d808c76ff84	0
BACKUP_20250606_034844	ARCHIVE_BACKUP	utils/docx_converter.py.backup_20250606_034844	file	13259	f670deba319154d4b6a2be3bb3f8d1be4ca9962817df58d364f544c57007dc9b	3231a9e5cf8b37fb6ed19545d54024e19dd1ed38	0
BAK2	ARCHIVE_BACKUP	scripts/docx_to_md_with_structure.py.bak2	file	12616	7f41d1b4ca6e191919852a3714460d7db9e00dce435eb62bf15867c8ae1ff91b	9c3128adf3da042e848c0efa27947f122f76ba9b	0
Batch	CORE	@echo off.bat	file	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	1
Batch	CORE	fix_debugger.bat	file	1657	4ead0ed845c6410c3dd34def56cf5fe175b61872b2fa5076fb3338db66c3b636	fb057e13d5b07308c841eed7d489451513852021	1
Batch	CORE	fix_vscode_terminal.bat	file	1488	dd76c44bdb9a2998e2740a94e46ef98a82c259a1b49dbf56706abdcd0ade49ae	68e1d9eb7d7e77f7ae42f76d9a45c85d3f570dea	1
